"Sklenitve zakonskih zvez po: LETO , MESEC"

"1990"
"2013"
" ";"Januar";183
" ";"Februar";202
" ";"Marec";228
" ";"April";358
" ";"Maj";936
" ";"Junij";1015
" ";"Julij";713
" ";"Avgust";932
" ";"September";773
" ";"Oktober";421
" ";"November";227
" ";"December";266
"2014"
" ";"Januar";187
" ";"Februar";231
" ";"Marec";262
" ";"April";350
" ";"Maj";1029
" ";"Junij";1013
" ";"Julij";695
" ";"Avgust";1028
" ";"September";845
" ";"Oktober";432
" ";"November";215
" ";"December";284

"Vir: Statistièni urad Republike Slovenije."

